time,AGU,BCN,BCS,CAM,CHH,CHP,CMX,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TAM,TLA,VER,YUC,ZAC
2015-12-01,22.29,19.12,24.85,31.24,19.78,30.45,23.21,22.64,32.58,22.54,31.79,24.73,23.63,26.82,21.76,25.92,28.38,29.92,23.85,28.14,24.03,23.8,29.95,28.8,25.54,22.96,29.08,25.05,21.62,25.95,30.65,22.2
2016-01-01,1.5,7.1,10.23,18.23,0.06,17.27,7.87,4.21,17.59,0.62,16.36,5.22,6.69,6.22,3.4,7.4,10.86,11.47,5.33,15.2,7.5,6.68,19.82,9.28,8.83,4.3,19.09,9.58,3.44,13.09,16.93,0.82
2016-02-01,3.31,9.87,13.32,17.66,3.1,16.95,8.19,7.49,18.67,4.37,16.77,5.19,6.54,8.25,3.51,8.85,11.57,15.44,8.06,14.56,7.14,7.07,19.3,12.57,9.18,7.58,18.59,11.6,2.54,13.11,15.81,3.33
2016-03-01,6.4,10.12,13.92,21.97,6.67,20.02,10.93,12.11,17.45,6.34,17.38,8.92,10.45,9.9,6.78,10.29,14.02,15.63,13.13,17.9,10.43,10.71,23.0,13.62,13.66,9.24,22.2,17.13,6.51,16.69,20.35,6.38
2016-04-01,8.99,12.87,15.41,23.2,9.76,21.41,12.65,15.04,18.84,9.42,19.11,11.57,12.78,11.98,8.67,12.51,16.33,17.5,16.37,19.3,12.07,13.4,24.02,15.02,16.82,11.44,23.88,19.98,8.07,18.55,21.26,8.89
2016-05-01,12.07,14.26,17.79,24.26,13.17,22.34,13.77,18.57,20.88,12.48,20.8,14.49,15.25,15.71,10.5,14.7,17.88,21.4,19.02,20.82,13.83,16.48,25.38,18.75,19.63,14.28,24.81,22.4,9.74,20.45,22.75,12.15
2016-06-01,12.67,19.34,21.27,23.81,17.29,21.48,12.85,20.4,22.79,14.69,19.84,14.56,15.13,16.9,10.78,15.07,16.74,23.08,20.01,20.15,13.24,15.73,25.6,23.63,19.02,21.47,23.71,22.97,9.74,19.81,22.86,13.11
2016-07-01,12.45,21.29,24.11,23.39,18.46,21.19,12.76,22.66,22.98,15.31,19.51,14.17,14.88,16.81,10.56,14.69,16.47,23.17,21.34,19.92,12.81,15.48,26.15,24.14,19.7,23.3,23.85,24.45,9.27,19.67,22.49,13.58
2016-08-01,13.44,21.38,24.08,23.89,17.48,21.31,13.28,21.33,22.7,14.96,19.7,14.33,14.91,17.15,10.76,14.93,16.7,23.17,21.21,19.97,12.82,15.47,25.88,23.9,19.73,22.03,23.97,24.05,9.2,19.75,22.9,14.03
2016-09-01,12.06,18.17,22.84,23.46,16.05,21.12,13.23,19.6,22.53,14.29,19.34,13.49,14.77,16.36,10.31,14.34,16.43,22.91,20.3,19.49,12.58,14.93,25.58,23.36,19.19,19.95,23.35,23.32,8.84,19.4,22.39,12.62
2016-10-01,9.31,16.35,21.54,22.19,12.27,20.64,11.76,15.83,22.95,11.2,19.17,11.67,12.97,14.78,8.36,12.98,15.31,22.7,16.75,18.58,11.35,12.94,23.88,21.85,17.18,16.47,22.73,20.43,7.14,18.33,20.68,9.78
2016-11-01,7.27,12.15,17.2,20.84,6.82,19.49,9.61,12.43,21.35,7.67,17.75,9.45,10.9,12.24,6.44,10.94,13.41,19.74,13.82,17.03,9.81,10.93,22.2,16.74,13.97,10.47,21.24,17.35,5.81,16.65,18.77,7.36
2016-12-01,23.65,19.8,25.59,32.44,21.34,30.83,21.72,21.29,33.07,23.62,31.76,25.48,24.38,28.11,22.5,26.88,29.18,31.28,22.71,28.15,24.5,24.25,32.72,30.44,25.92,23.8,30.14,24.89,22.02,25.96,31.89,24.09
2017-01-01,3.25,7.7,11.05,18.96,2.76,16.88,7.9,7.55,17.67,3.31,15.43,5.24,7.35,7.77,2.67,7.42,10.14,13.9,8.28,13.6,7.18,6.95,20.52,10.88,12.09,6.15,18.8,12.91,0.2,13.87,17.12,3.45
2017-02-01,4.26,9.0,11.67,19.82,4.87,17.89,9.32,9.47,17.41,3.82,15.79,7.03,8.61,8.4,4.0,8.53,11.72,13.8,11.02,14.99,8.32,8.87,21.36,11.35,13.84,8.45,20.01,15.81,1.98,15.16,18.05,3.68
2017-03-01,7.5,11.07,13.92,20.66,8.11,19.04,9.95,12.76,19.05,7.01,17.33,9.37,10.72,11.58,5.91,10.85,14.52,15.44,14.33,16.44,9.89,10.88,21.34,13.62,16.48,10.76,20.8,18.11,4.87,16.31,18.4,7.04
2017-04-01,8.04,13.0,15.12,22.76,10.68,20.16,11.94,15.05,17.38,9.02,17.76,10.65,12.42,11.86,7.32,11.36,15.49,16.31,15.2,17.35,11.31,12.58,23.88,15.06,17.92,12.25,22.73,19.25,5.98,17.93,21.14,7.91
2017-05-01,11.19,15.41,16.18,24.11,12.52,22.02,14.33,18.17,19.57,11.76,19.95,14.17,15.13,15.13,10.57,14.86,17.76,19.62,18.44,19.14,13.79,16.49,24.98,17.94,20.85,14.64,24.02,21.98,9.82,19.95,22.28,11.52
2017-06-01,13.91,18.38,19.82,24.06,18.45,21.81,13.78,20.86,23.3,15.62,19.95,14.96,15.09,17.89,10.65,16.16,16.92,23.49,20.53,19.21,13.69,16.11,25.8,22.53,21.27,20.94,23.81,23.65,9.5,19.96,22.92,14.4
2017-07-01,13.05,21.75,23.62,23.27,18.09,21.39,12.74,21.56,22.8,15.3,19.19,14.05,14.66,17.02,10.28,14.93,16.08,23.29,20.74,18.48,12.87,15.42,25.58,24.28,20.48,23.02,23.69,23.66,9.28,19.15,22.23,14.08
2017-08-01,13.27,21.2,24.88,23.7,17.46,21.28,13.66,21.26,23.03,15.22,19.05,14.22,14.93,17.39,10.85,15.34,16.74,23.68,21.24,18.49,13.28,15.57,26.08,24.3,21.44,22.79,23.68,24.41,8.82,19.65,22.61,14.17
2017-09-01,12.4,18.42,22.66,23.82,15.5,21.56,13.38,19.34,22.59,13.83,18.78,13.54,14.39,16.67,10.2,14.94,16.72,23.36,19.5,18.56,13.42,14.68,25.28,23.27,19.91,20.13,23.79,22.74,9.92,19.33,22.64,13.12
2017-10-01,9.45,15.18,21.11,22.38,12.29,20.84,11.8,14.46,22.47,11.5,18.55,11.3,12.53,14.5,8.35,12.81,14.81,22.76,14.68,17.54,11.68,12.78,23.56,21.98,17.34,17.05,22.51,18.37,6.66,17.86,21.04,9.84
2017-11-01,5.26,12.15,17.12,19.46,7.0,18.65,8.73,10.72,21.61,6.03,17.04,7.13,8.51,10.6,3.88,9.2,11.84,19.94,11.98,14.62,8.56,8.8,20.94,16.83,14.46,12.11,20.59,16.31,1.52,15.38,17.74,5.2
2017-12-01,22.08,22.78,26.45,29.84,19.71,29.26,20.81,19.11,32.64,20.52,30.98,24.61,24.08,27.04,21.75,26.3,27.75,30.38,20.26,27.0,23.52,22.95,30.42,30.2,24.6,24.61,28.23,22.82,22.0,24.2,29.45,22.08
2018-01-01,3.12,9.18,12.44,16.77,1.3,15.33,6.11,3.98,18.31,1.79,15.44,4.43,5.34,7.53,1.02,7.5,9.6,13.7,4.7,14.02,5.1,5.17,17.98,10.9,8.44,7.02,17.62,8.39,1.25,11.8,16.19,3.02
2018-02-01,8.41,8.18,13.5,19.94,6.61,17.47,10.14,11.15,19.27,6.74,16.59,8.71,8.17,10.61,4.77,10.54,13.04,16.61,11.78,15.95,9.02,10.75,21.08,14.11,15.16,8.2,20.8,16.12,4.67,15.46,18.73,7.3
2018-03-01,7.66,9.69,13.11,20.45,7.18,18.74,11.83,12.75,18.14,8.39,17.67,10.15,9.34,10.11,6.0,12.19,15.64,14.51,13.64,17.54,10.92,12.28,21.02,12.98,16.1,9.54,21.95,17.63,6.51,16.91,18.98,7.14
2018-04-01,9.56,12.5,15.29,21.39,10.54,19.69,12.39,14.47,18.1,9.89,18.86,11.74,11.03,11.97,7.1,13.34,16.34,15.68,14.59,17.84,11.68,13.81,22.28,15.04,16.6,12.3,22.8,18.41,7.71,17.4,20.51,8.9
2018-05-01,12.82,13.35,17.42,22.68,14.66,20.6,13.37,19.84,22.25,13.38,19.98,13.97,12.02,16.0,8.53,15.56,16.53,20.47,19.18,19.67,12.51,15.67,23.33,18.92,19.52,15.01,23.89,22.47,8.81,19.47,21.6,12.7
2018-06-01,14.19,16.53,20.73,23.18,18.44,20.5,14.0,22.51,23.04,16.02,19.9,14.5,14.39,17.13,9.81,16.12,16.94,23.55,20.91,17.95,13.57,15.54,25.14,23.73,20.59,21.31,23.73,23.81,10.76,20.3,22.55,14.36
2018-07-01,13.11,21.82,24.03,23.02,18.08,19.86,12.82,22.06,23.47,15.51,19.64,13.51,14.03,16.13,8.75,15.16,15.65,23.08,20.28,17.5,11.86,15.06,25.24,24.36,20.32,23.57,23.58,23.63,8.33,19.62,22.5,13.26
2018-08-01,13.48,22.49,24.71,22.61,17.4,20.15,12.57,22.01,22.53,15.19,19.2,13.47,14.4,16.12,9.35,15.12,15.92,22.6,20.77,17.85,12.35,15.5,24.86,23.74,20.35,22.96,23.14,23.87,9.44,19.35,22.22,12.92
2018-09-01,13.39,18.93,24.02,23.13,15.15,20.27,13.11,19.69,22.62,14.03,19.2,13.64,13.66,16.3,9.7,15.04,15.8,22.73,20.7,17.82,12.89,15.55,24.24,23.73,20.18,22.19,23.58,23.33,9.89,19.67,22.52,13.53
2018-10-01,12.01,14.71,19.98,22.34,11.49,20.04,12.71,16.08,22.33,10.9,19.02,13.08,13.98,15.24,9.14,14.52,15.61,21.93,16.75,19.06,12.29,14.77,23.53,21.69,18.6,16.39,23.34,20.02,9.91,18.76,21.84,10.99
2018-11-01,6.23,9.7,15.69,20.75,4.03,18.86,9.59,8.64,20.16,4.25,17.56,8.32,10.28,10.7,5.92,10.68,13.58,17.42,9.7,17.25,9.72,10.46,21.84,15.32,13.55,8.71,21.75,13.7,6.58,16.27,19.81,5.56
2018-12-01,4.07,7.57,13.11,18.93,2.95,16.19,7.78,6.38,18.62,2.0,15.83,5.55,7.31,7.58,3.77,8.02,11.0,13.75,7.4,15.19,7.46,8.59,19.97,12.43,11.1,6.37,19.66,11.36,3.74,13.59,17.94,3.07
2019-01-01,4.57,8.65,13.91,17.31,0.98,15.39,8.14,6.11,18.99,2.89,15.07,6.36,6.75,9.32,4.04,7.69,9.14,15.06,6.83,13.87,6.78,9.32,18.13,11.78,13.85,6.18,18.65,11.45,2.96,13.83,16.17,3.87
2019-02-01,7.14,6.33,12.1,19.94,4.15,17.38,10.62,9.52,17.99,5.33,16.68,8.03,10.27,9.23,4.6,10.06,12.57,15.23,10.3,16.58,9.58,10.44,21.53,11.98,14.15,6.27,20.76,14.46,4.71,15.84,18.87,6.22
2019-03-01,8.68,8.85,13.06,20.24,6.85,18.16,11.4,11.9,18.3,6.92,18.31,10.26,11.01,10.95,6.14,11.52,15.31,14.5,12.8,15.95,10.44,11.92,21.18,12.7,15.31,9.25,20.82,16.32,6.31,16.14,19.0,7.68
2019-04-01,9.4,13.16,15.31,21.85,8.69,18.99,12.88,14.39,17.43,8.16,18.17,10.91,12.34,10.9,7.08,11.45,15.4,15.9,13.93,16.69,11.56,13.52,22.71,14.55,16.39,11.51,22.1,17.68,7.69,16.91,20.75,7.91
2019-05-01,12.59,14.1,15.94,24.44,11.92,21.13,13.99,19.79,19.68,10.24,19.24,13.86,15.21,13.91,8.96,14.1,16.86,17.8,19.87,17.96,13.6,16.83,25.33,16.61,21.74,12.96,25.12,23.65,9.68,20.72,23.42,11.04
2019-06-01,15.7,17.57,19.91,23.98,16.69,20.9,14.19,21.52,23.44,15.49,20.02,14.97,15.49,17.66,10.58,16.1,17.22,22.85,21.22,18.7,13.81,16.44,25.8,22.29,21.71,19.08,24.61,24.48,11.24,20.64,23.96,14.67
2019-07-01,14.21,19.03,23.91,22.95,18.25,20.34,13.01,21.58,23.16,15.32,19.2,13.6,14.63,16.59,9.66,15.03,16.13,23.16,20.45,17.42,12.4,14.9,25.37,24.41,20.68,23.3,23.6,23.85,9.55,19.43,22.58,13.69
2019-08-01,13.41,20.77,24.68,23.26,18.42,20.59,13.55,23.42,23.6,15.99,20.05,13.92,14.14,16.93,9.51,14.8,15.94,23.5,21.92,18.33,12.81,15.94,25.38,24.25,21.33,23.82,24.37,25.03,9.23,19.72,22.96,14.09
2019-09-01,12.2,18.66,23.28,23.17,16.16,20.62,13.81,21.14,23.21,14.27,19.77,13.34,14.03,16.73,9.16,14.48,16.02,23.2,20.31,18.16,12.63,14.94,24.31,23.43,20.26,21.27,23.89,23.4,9.33,19.44,23.03,12.96
2019-10-01,11.17,13.26,19.45,23.25,11.07,20.57,13.62,15.58,22.71,11.51,19.68,12.98,13.72,15.88,9.11,14.35,15.87,22.95,16.5,17.59,12.36,14.25,24.3,21.82,18.57,15.33,23.53,19.81,9.02,18.84,22.9,12.19
2019-11-01,8.79,11.34,17.38,20.89,7.66,19.03,11.52,10.42,22.34,7.99,19.04,10.86,11.88,14.13,7.52,13.21,14.55,20.71,11.2,16.1,10.62,12.3,21.49,18.51,15.45,13.07,21.59,14.46,6.6,15.81,19.7,8.81
2019-12-01,8.78,11.34,17.38,20.89,7.65,19.03,11.51,10.43,22.33,7.99,19.04,10.86,11.88,14.13,7.52,13.21,14.55,20.7,11.19,16.1,10.62,12.29,21.48,18.5,15.44,13.06,21.58,14.46,6.6,15.81,19.7,8.82
2020-01-01,4.36,6.97,10.95,19.04,1.85,17.84,8.31,6.91,18.83,2.64,16.82,6.42,8.38,9.16,3.16,9.01,10.66,15.2,8.98,14.28,7.87,7.71,20.33,11.4,12.43,5.69,20.34,13.57,2.71,14.21,17.45,3.86
2020-02-01,6.15,7.48,11.62,19.67,3.12,18.18,10.29,7.57,18.81,4.13,17.23,8.15,9.46,10.75,4.96,10.4,12.44,15.64,8.38,14.58,8.99,10.0,20.92,12.01,13.12,6.83,20.7,12.58,4.7,14.45,18.17,5.48
2020-03-01,9.38,8.54,13.41,21.1,7.98,18.23,10.34,14.92,19.89,8.81,18.78,11.2,12.49,13.08,6.67,12.5,15.69,16.77,15.41,16.06,11.14,13.04,21.62,14.21,16.95,9.57,21.73,19.03,5.9,17.43,19.23,9.49
2020-04-01,9.9,11.42,14.61,23.8,9.99,20.77,12.92,16.3,18.22,9.89,19.63,13.26,14.96,12.64,8.86,13.6,17.19,15.73,17.65,18.28,13.93,15.41,24.85,14.72,20.32,10.86,24.76,21.66,9.45,20.55,23.06,9.77
2020-05-01,10.86,15.62,16.46,23.63,14.19,21.08,12.21,19.56,19.27,12.03,19.85,13.11,14.42,14.21,8.35,13.64,16.78,17.94,18.95,18.35,13.31,15.66,24.99,18.22,20.6,15.52,24.6,22.3,9.18,20.23,22.8,11.23
2020-06-01,13.91,16.98,20.13,23.84,17.8,20.68,12.98,21.02,22.61,14.73,20.6,14.38,14.43,17.38,9.36,15.14,17.56,22.52,20.17,18.36,13.53,15.65,24.97,23.5,21.37,20.69,24.32,23.17,9.78,20.01,23.21,14.57
2020-07-01,13.53,19.58,22.8,23.72,18.82,20.44,13.06,22.61,23.56,15.41,20.31,14.21,14.8,16.99,9.77,15.09,16.33,23.4,21.44,17.7,13.4,15.75,24.93,24.52,21.55,24.7,24.52,24.32,9.43,20.3,23.08,14.21
2020-08-01,13.11,21.71,23.95,23.65,18.21,20.71,13.0,21.67,23.15,14.75,20.0,14.22,14.56,16.95,9.84,14.92,16.35,23.14,20.92,17.81,13.53,15.75,25.04,24.99,21.07,25.11,24.17,23.63,9.9,19.9,23.34,13.75
2020-09-01,12.05,18.67,23.53,23.62,14.96,20.54,13.06,18.02,23.17,13.27,19.8,13.21,14.23,16.35,9.48,14.52,16.39,23.06,18.65,18.16,13.47,14.68,24.94,24.16,20.33,22.2,24.01,21.85,9.94,19.84,23.15,12.72
2020-10-01,7.72,15.14,20.95,22.96,9.67,20.09,9.25,13.96,22.96,8.44,19.02,9.54,10.55,14.06,5.38,11.94,13.42,22.53,13.86,15.87,10.38,10.88,24.27,22.29,16.57,16.71,23.26,18.61,6.12,17.4,22.47,7.65
2020-11-01,5.69,9.25,15.94,21.64,6.07,19.62,8.33,11.56,21.06,5.67,18.15,8.39,8.98,11.59,4.43,10.65,12.53,18.12,12.83,14.82,9.45,10.34,22.94,16.39,15.72,10.42,22.2,17.16,4.8,16.09,21.1,5.86
2020-12-01,4.09,6.86,11.25,18.61,0.06,16.4,7.7,4.56,18.69,1.2,17.21,7.0,7.36,9.22,4.7,9.22,11.79,14.35,5.74,13.0,7.61,7.53,19.83,11.3,10.34,4.98,19.47,10.73,3.99,13.07,17.61,3.46
2021-01-01,2.63,6.96,9.62,18.98,0.4,17.55,7.18,5.31,17.51,1.59,16.94,5.88,7.69,7.96,3.38,8.5,11.05,12.44,6.32,13.17,7.99,8.28,20.24,9.63,11.84,4.79,20.02,11.82,3.75,13.87,17.72,2.44
2021-02-01,3.95,7.71,10.82,19.06,3.68,16.62,6.98,6.51,16.84,4.26,16.7,6.37,7.8,9.39,3.09,8.31,10.91,13.91,7.45,13.07,7.82,8.11,20.55,11.12,11.22,6.15,19.78,11.42,3.19,13.96,17.77,4.3
2021-03-01,6.97,7.09,11.43,20.99,5.23,18.44,10.06,11.09,17.19,6.24,18.76,9.68,10.51,10.65,6.35,10.88,14.22,12.85,12.61,15.36,10.03,11.45,21.89,10.62,15.34,7.07,21.75,16.27,5.76,16.38,19.69,6.94
2021-04-01,8.96,10.86,14.13,22.83,9.84,20.12,10.86,14.96,18.17,9.35,19.27,11.78,12.27,12.73,7.61,12.04,15.54,16.55,16.22,17.09,12.26,13.96,23.67,14.55,18.1,11.78,23.89,19.85,6.98,18.58,21.85,9.27
2021-05-01,11.14,12.94,16.57,23.47,13.34,20.73,12.24,18.87,20.2,12.19,20.46,13.61,14.23,14.96,9.18,13.9,16.81,19.02,19.0,18.17,13.05,15.57,24.91,18.49,19.95,14.66,24.0,22.28,8.92,20.08,23.09,11.98
2021-06-01,12.99,17.46,20.39,23.6,17.93,20.62,12.79,21.2,22.95,14.94,19.6,14.14,14.32,17.17,10.05,14.93,16.86,22.26,20.03,18.14,13.77,15.91,25.24,23.82,20.19,21.72,24.09,23.3,10.02,20.24,23.3,14.06
2021-07-01,12.88,21.49,22.57,23.37,17.84,20.51,12.57,21.4,23.24,15.0,20.07,13.96,13.84,17.18,9.29,14.79,16.04,22.48,20.22,18.06,12.68,15.64,25.23,24.23,19.9,24.35,24.1,23.38,8.58,19.9,23.34,14.05
