time,AGU,BCN,BCS,CAM,CMX,CHH,CHP,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TLA,VER,YUC,ZAC,TAM
2018-05-01,12.816,13.353846153846153,17.425,22.678947368421053,13.369565217391305,14.656410256410258,20.598000000000003,19.83793103448276,22.25294117647059,13.378260869565215,19.98333333333333,13.972549019607843,12.023333333333332,16.0,8.531818181818181,15.561538461538465,16.527027027027028,20.472727272727276,19.18,19.671875,12.510416666666666,15.669230769230769,23.33333333333333,18.91860465116279,19.52173913043478,15.008,23.88888888888889,8.809090909090909,19.47027027027027,21.596969696969698,12.696153846153846,22.472916666666663
2018-06-01,14.191666666666668,16.53076923076923,20.732,23.18095238095238,14.0,18.43921568627451,20.49642857142857,22.50967741935484,23.04375,16.019565217391303,19.9,14.496363636363636,14.3875,17.1325,9.80909090909091,16.12,16.9375,23.55,20.90666666666667,17.95,13.572549019607845,15.538461538461538,25.1375,23.72978723404255,20.58695652173913,21.305882352941172,23.727777777777774,10.763636363636364,20.295714285714286,22.546875,14.35581395348837,23.80526315789474
2018-07-01,13.1125,21.815384615384616,24.028,23.015,12.82,18.081818181818186,19.85818181818182,22.061290322580643,23.466666666666665,15.509090909090908,19.643478260869564,13.508,14.030434782608696,16.1325,8.747499999999999,15.157894736842104,15.653658536585365,23.08,20.27777777777778,17.5,11.862,15.058333333333332,25.244444444444444,24.3625,20.321739130434786,23.56851851851852,23.576470588235296,8.327272727272726,19.615714285714283,22.5,13.263829787234044,23.634545454545457
2018-08-01,13.48,22.486666666666668,24.708,22.61,12.566666666666666,17.40232558139535,20.14583333333333,22.01,22.526666666666664,15.193023255813952,19.195918367346938,13.467307692307692,14.395454545454545,16.120512820512822,9.348837209302326,15.122222222222222,15.919512195121952,22.6,20.774074074074072,17.84565217391304,12.35098039215686,15.5,24.86,23.74390243902439,20.35217391304348,22.956363636363637,23.14,9.436363636363636,19.34520547945205,22.224137931034484,12.921951219512191,23.87142857142857
2018-09-01,13.38695652173913,18.933333333333334,24.024,23.13181818181818,13.11111111111111,15.147916666666667,20.26818181818182,19.687096774193545,22.61875,14.026,19.20217391304348,13.635849056603774,13.658620689655171,16.302702702702703,9.697777777777777,15.038461538461538,15.797727272727274,22.727272727272727,20.7,17.821739130434782,12.892592592592594,15.546153846153846,24.23636363636364,23.72888888888889,20.184,22.18909090909091,23.58421052631579,9.89090909090909,19.666176470588237,22.516666666666666,13.527272727272727,23.33392857142857
2018-10-01,12.006666666666666,14.711764705882352,19.976,22.336842105263155,12.705263157894738,11.493023255813954,20.0390625,16.083870967741937,22.326666666666664,10.904255319148936,19.02,13.07843137254902,13.98,15.242105263157896,9.14090909090909,14.516981132075472,15.610810810810811,21.92727272727273,16.75357142857143,19.057142857142857,12.290566037735848,14.76923076923077,23.527272727272727,21.692307692307693,18.604166666666668,16.3875,23.34210526315789,9.909090909090908,18.761764705882356,21.844827586206897,10.985714285714284,20.02142857142857
2018-11-01,6.232661882043479,9.6955283588,15.68606291896,20.750943608947367,9.586884271428572,4.0268106835,18.86247194169231,8.638357575935483,20.159078207333334,4.248587700480769,17.55967130771111,8.31827710986,10.279837917,10.695687996871795,5.920630908090908,10.68382863545098,13.583563149275,17.415385214545456,9.7000795865,17.251513905735294,9.724211195381818,10.45603298476923,21.839470086,15.31711655609756,13.553054437708331,8.714889026,21.75277963368421,6.579101071363637,16.273160251119403,19.808401913928574,5.556418642653061,13.70150314618182
2018-12-01,4.074223577733333,7.5687551988,13.108891983708332,18.932584265,7.783925691375,2.954041474419355,16.194689015945947,6.376315579222222,18.62154480076923,2.0018114491,15.829873627918918,5.5455450225625,7.30527112388889,7.584530427617646,3.7681574297647056,8.021692622163265,11.001776170475,13.750374017142857,7.397586738809524,15.191777442153846,7.457108456859999,8.593548387,19.97071079,12.434441121285714,11.099365608772729,6.373366547019231,19.66204944055556,3.7398717439,13.592837428806453,17.939259597826087,3.0652019797560976,11.355012226591835
2019-01-01,4.566749379692308,8.65,13.905676521666669,17.31165447777778,8.1402721774375,0.9800093503043478,15.391310548102563,6.1132845540625,18.9888440875,2.885738539894737,15.06619915873913,6.362346749653061,6.7537370968125,9.315525778333331,4.035183537206897,7.6904516128,9.1427718056,15.0645161275,6.834191904111111,13.86905753615,6.780303178375,9.322580645,18.127726486666667,11.778401122391305,13.848789694692307,6.1806894342000005,18.651158529333333,2.955913978333333,13.829134231140351,16.174877658148148,3.874233373233333,11.452592968317074
2019-02-01,7.1385714286,6.325863109909091,12.09847382964,19.93603066388889,10.615819571555557,4.151533735023255,17.37995571325397,9.518312965592592,17.985283122000002,5.330753770884616,16.680394499785717,8.029631028291666,10.267241107210523,9.231860676794872,4.596420207042553,10.06228710708,12.57076881875,15.226301461818183,10.30263040822222,16.582558528685713,9.577827133019609,10.440231580846152,21.53436508,11.984622163372093,14.152478287565216,6.2739213447777775,20.756310421764702,4.708215067333334,15.843380157056338,18.87292991535714,6.215698742652174,14.46010529373585
