time,AGU,BCN,BCS,CAM,CMX,CHH,CHP,COA,COL,DUR,GRO,GUA,HID,JAL,MEX,MIC,MOR,NAY,NLE,OAX,PUE,QUE,ROO,SIN,SLP,SON,TAB,TLA,VER,YUC,ZAC,TAM
2013-01-01,12.938095238095238,12.754545454545456,17.075,23.566666666666663,14.758333333333333,9.720588235294118,23.45952380952381,13.062962962962963,24.95,11.272093023255811,24.55263157894737,15.424137931034483,15.110526315789476,17.652,13.314285714285717,16.861904761904764,19.547727272727272,21.9875,14.33448275862069,21.972727272727276,15.43,15.919999999999998,24.785714285714285,18.843243243243244,17.276190476190475,12.63125,23.55217391304348,12.26,19.21315789473684,23.466666666666665,12.297872340425531,17.273684210526316
2013-02-01,15.090909090909092,13.891666666666666,17.38181818181818,25.20625,17.275000000000002,12.047058823529412,24.779545454545453,16.737037037037037,24.321428571428573,14.12093023255814,25.494594594594595,17.74827586206897,17.568421052631578,19.15,15.18148148148148,18.716666666666665,21.211627906976744,22.385714285714283,18.603571428571428,23.48125,17.576,18.24,25.542857142857144,19.47567567567568,20.879166666666663,13.82127659574468,25.16,14.35,21.542105263157897,24.60333333333333,14.636734693877552,21.684615384615388
2013-03-01,15.738095238095235,16.61111111111111,20.835,25.45384615384615,16.41111111111111,16.29705882352941,24.905,18.303571428571427,24.99285714285714,15.830000000000002,25.628125,17.39423076923077,16.700000000000003,19.582608695652173,14.82,18.793333333333333,21.48333333333333,23.4,19.17586206896552,23.01935483870968,16.96530612244898,17.6,24.36,22.20555555555556,20.80454545454545,19.660416666666663,24.66875,13.333333333333334,20.825,23.79310344827586,15.10816326530612,21.455
2013-04-01,19.245454545454542,19.207692307692305,21.44782608695652,28.973333333333336,20.03333333333333,19.231428571428573,27.71590909090909,22.31379310344828,24.92142857142857,19.223809523809525,27.50625,21.641379310344828,21.13157894736842,22.416,18.49655172413793,21.6875,24.488636363636363,25.175,22.655172413793103,26.440625,20.396,22.12222222222222,27.82857142857143,23.48611111111111,25.03333333333333,21.222916666666663,28.495833333333334,17.19,24.31688311688312,28.083870967741937,18.477551020408164,24.892857142857142
2013-05-01,21.195454545454545,21.700000000000003,24.078260869565216,29.41875,19.916666666666668,22.188235294117646,27.47555555555556,24.917857142857144,26.085714285714285,21.2390243902439,27.509090909090908,22.50862068965517,21.121052631578948,24.660869565217396,18.845161290322583,22.452380952380956,24.470454545454547,27.92222222222222,24.686206896551724,26.13,20.31020408163265,22.61111111111111,28.25714285714286,26.39375,25.684,24.995744680851065,28.848000000000003,17.2,25.185714285714287,28.45,20.875510204081632,26.814634146341465
2013-06-01,22.009090909090908,25.07,27.14761904761905,28.07333333333333,18.933333333333334,27.480555555555554,26.535555555555558,28.024137931034485,27.885714285714283,24.64651162790697,27.077777777777776,22.32758620689655,20.87368421052632,25.316,18.740625,22.91304347826087,22.84090909090909,29.688888888888886,27.76551724137931,25.91764705882353,19.916326530612245,22.56,28.214285714285715,30.168571428571436,26.75,30.695744680851064,28.204,16.41,25.46538461538461,27.574193548387097,22.026530612244898,29.614285714285717
2013-07-01,19.768181818181816,25.616666666666664,28.86086956521739,27.89375,18.391666666666666,24.90277777777778,26.11777777777778,27.01333333333333,27.728571428571428,22.12093023255814,26.7,20.653448275862072,20.25263157894737,23.125925925925927,18.185714285714287,21.84090909090909,21.88571428571429,28.88888888888889,27.113793103448277,25.438235294117646,19.210204081632654,21.32,28.1,30.027027027027028,25.9375,30.008163265306123,28.204166666666666,15.74,25.07692307692308,27.21935483870968,19.632653061224488,29.065853658536582
2013-08-01,19.931818181818183,24.516666666666666,29.413636363636364,27.973333333333336,18.10909090909091,24.86857142857143,26.184444444444445,28.10333333333333,27.384615384615383,21.851162790697675,26.55,20.46379310344828,20.126315789473683,23.244444444444444,17.89,21.354166666666668,22.074418604651164,29.1625,27.53448275862069,25.344117647058823,19.134693877551022,20.94,28.228571428571428,29.85833333333333,25.78,30.116666666666664,28.183333333333334,15.8,24.94871794871795,27.40967741935484,19.8530612244898,29.317073170731707
2013-09-01,19.40952380952381,25.545454545454547,28.063636363636363,27.3125,17.54,22.65142857142857,25.70681818181818,25.133333333333333,26.542857142857144,20.32439024390244,25.666666666666668,20.18103448275862,19.70526315789473,22.625925925925927,17.5375,20.536363636363635,21.504761904761907,27.933333333333334,24.610344827586207,24.506060606060608,18.666,20.75,27.766666666666666,28.731428571428573,24.308000000000003,28.3,26.97826086956522,15.73,24.297435897435896,26.700000000000003,18.93673469387755,26.995238095238093
2013-10-01,18.11818181818182,20.175,25.20434782608696,27.19375,17.77,19.16857142857143,25.84047619047619,21.916666666666668,27.62857142857143,19.01627906976744,26.162857142857145,19.405172413793103,18.96842105263158,22.596153846153847,16.532258064516128,20.870833333333334,21.44761904761905,28.700000000000003,22.4,24.541176470588237,18.338775510204083,19.0,28.0,27.28108108108108,22.904,22.742857142857144,27.160869565217396,15.330000000000002,24.020779220779215,26.54516129032258,18.060416666666665,25.139024390243904
2013-11-01,16.129411764705882,18.1,22.2448275862069,26.394117647058824,16.277272727272727,13.403846153846152,23.955102040816325,15.85625,26.8,14.973170731707317,24.309803921568623,17.435,16.15625,19.269565217391303,13.207692307692309,18.846666666666668,20.8,25.981818181818184,17.014285714285712,23.905882352941177,16.31219512195122,16.759999999999998,26.46153846153846,24.441463414634143,19.48157894736842,19.53018867924528,25.77894736842105,13.81,21.14197530864197,25.976190476190474,15.68888888888889,20.38813559322034
